https://godeadlytest.myshopify.com/
FCP, LCP, CLS, TTFB
645.6000000238419,695.7000000476837,0.01580528846153846,386.89999997615814
373.60000002384186,440.3000000715256,0.01580528846153846,118.39999997615814
1358,1458,0.01580528846153846,124.5
318,384.7000000476837,0.01580528846153846,121.89999997615814
856.8999999761581,973.7000000476837,0.01580528846153846,121.10000002384186
306.5,406.5,0.01580528846153846,122.70000004768372
310.3000000715256,393.60000002384186,0.01580528846153846,119.5
310.6999999284744,377.2999999523163,0.01580528846153846,122.10000002384186
294.60000002384186,378,0.01580528846153846,122
339.90000009536743,0,0,121.10000002384186
316.2000000476837,449.5,0.01580528846153846,123.80000007152557
351.60000002384186,384.89999997615814,0.01580528846153846,113.60000002384186
358.10000002384186,441.5,0.01580528846153846,123.79999995231628
320.2999999523163,420.2999999523163,0.01580528846153846,135
332.2000000476837,398.8000000715256,0.01580528846153846,114.79999995231628
316.5,416.5,0.01580528846153846,125.20000004768372
347,397,0.01580528846153846,132.19999992847443
333.7999999523163,417.1999999284744,0.01580528846153846,123.70000004768372
459.2999999523163,526,0.01580528846153846,124.89999997615814
301.10000002384186,434.5,0.01580528846153846,127
460.60000002384186,527.2000000476837,0.01580528846153846,141.89999997615814
309,375.60000002384186,0.01580528846153846,119.89999997615814
313.5,363.5,0.01580528846153846,114.69999992847443
339.2000000476837,405.89999997615814,0.01580528846153846,117.10000002384186
334.10000002384186,400.8000000715256,0.01580528846153846,120.89999997615814
336.8000000715256,353.40000009536743,0.01580528846153846,120.40000009536743
355.7000000476837,405.7000000476837,0.01580528846153846,119.39999997615814
318.8000000715256,368.90000009536743,0.01580528846153846,114.89999997615814
539.8000000715256,623.1000000238419,0.01580528846153846,115.30000007152557
340.39999997615814,423.7000000476837,0.01569896449704142,138.10000002384186
318.2000000476837,401.60000002384186,0.01580528846153846,123.5
437,437,0,121.69999992847443
321.60000002384186,388.3000000715256,0.01580528846153846,125.10000002384186
318.60000002384186,385.2999999523163,0.01580528846153846,108.20000004768372
359.3000000715256,409.3000000715256,0.01580528846153846,118.10000002384186
295.5,362.2000000476837,0.01580528846153846,123.5
336.60000002384186,369.89999997615814,0.01580528846153846,115.70000004768372
329.5,396.2000000476837,0.01580528846153846,118.59999990463257
355.5,405.5,0.01580528846153846,134
328.39999997615814,411.8000000715256,0.01580528846153846,114.70000004768372
