https://godeadlytest.myshopify.com/
FCP, LCP, CLS, TTFB
548.7999999523163,682,0.01580528846153846,123.5
385,551.5999999046326,0.01580528846153846,151.79999995231628
459.89999997615814,509.89999997615814,0.01580528846153846,166.39999997615814
602.3999999761581,669,0.01580528846153846,360.3000000715256
341.2999999523163,374.5,0.01580528846153846,117.10000002384186
319.90000009536743,353.2000000476837,0.01580528846153846,110
366.6999999284744,433.2999999523163,0.01580528846153846,118.30000007152557
294.5,394.39999997615814,0.01580528846153846,115.39999997615814
273.3000000715256,423.3000000715256,0.01580528846153846,114.69999992847443
349.3000000715256,449.3000000715256,0.01580528846153846,133.89999997615814
314.5,397.8000000715256,0.01580528846153846,123.89999997615814
309.2000000476837,392.5,0.01580528846153846,127.69999992847443
324.89999997615814,391.59999990463257,0.01580528846153846,131.10000002384186
313.89999997615814,397.3000000715256,0.01580528846153846,123.89999997615814
349.2000000476837,432.60000002384186,0.01580528846153846,114
290.3000000715256,457,0.01580528846153846,133.20000004768372
340.89999997615814,390.89999997615814,0.01580528846153846,134.90000009536743
321.7999999523163,388.5,0.01580528846153846,124.5
408.39999997615814,658.3999999761581,0.01580528846153846,110
360.10000002384186,443.39999997615814,0.01580528846153846,136.10000002384186
336.60000002384186,603.2999999523163,0.01580528846153846,131.69999992847443
316,382.7000000476837,0.01580528846153846,118.70000004768372
263.7000000476837,397,0.01580528846153846,124.5
319.89999997615814,419.89999997615814,0.01580528846153846,119.39999997615814
332.5,382.5,0.01580528846153846,109.60000002384186
456.3000000715256,506.3000000715256,0.018251810581726438,132.09999990463257
333.5,466.7000000476837,0.01569896449704142,133.20000004768372
266.5,416.5,0.01580528846153846,112.60000002384186
348.1999999284744,414.89999997615814,0.01580528846153846,148.60000002384186
317.89999997615814,384.59999990463257,0.01580528846153846,115.90000009536743
317.3000000715256,400.7000000476837,0.01580528846153846,126.60000002384186
357,407,0.01580528846153846,147
380.39999997615814,430.39999997615814,0.01580528846153846,126.80000007152557
354.2000000476837,404.2000000476837,0.01580528846153846,131
349.1999999284744,399.10000002384186,0.01569896449704142,132.60000002384186
309.7999999523163,409.7999999523163,0.01580528846153846,120
342,408.60000002384186,0.01580528846153846,124
323.89999997615814,407.2999999523163,0.01580528846153846,136.90000009536743
314.39999997615814,414.39999997615814,0.01580528846153846,115.20000004768372
353.7000000476837,487,0.01580528846153846,126.29999995231628
