https://godeadlytest.myshopify.com/
FCP, LCP, CLS, TTFB
464.5,547.9000000357628,0.01580528846153846,135.10000002384186
2901.400000035763,3484.699999988079,0.01580528846153846,158.39999997615814
407.5,707.5999999642372,0.01580528846153846,129.4000000357628
444.39999997615814,611.1999999880791,0.01580528846153846,171.0999999642372
2343.599999964237,3260.300000011921,0.021031311938043175,146.10000002384186
5186.400000035763,7153.100000023842,0.01580528846153846,278.5
6787.5,13904.199999988079,0.016042960524700098,164.89999997615814
389,639.1000000238419,0.01580528846153846,113
2408.100000023842,16674.80000001192,0.01580528846153846,223.69999998807907
373,639.6999999880791,0.01580528846153846,123.80000001192093
1130.5,2280.5,0.01580528846153846,135.70000004768372
1950.699999988079,2884.099999964237,0.01580528846153846,255.5
331.0999999642372,1714.5,0.01580528846153846,117.09999996423721
331.0999999642372,1714.5,0.01580528846153846,117.09999996423721
1596.5,4229.800000011921,0.01580528846153846,273
349.5,4499.5,0.01580528846153846,137.4000000357628
1066.699999988079,1200,0.01580528846153846,261.69999998807907
421.60000002384186,621.6000000238419,0.01580528846153846,144
351.69999998807907,501.80000001192093,0.01580528846153846,125.69999998807907
339.10000002384186,789.1000000238419,0.01580528846153846,143.89999997615814
808.7999999523163,992.0999999642372,0.01580528846153846,130.10000002384186
563,729.7000000476837,0.01580528846153846,120.5
5357.800000011921,6624.5,0.01580528846153846,233.60000002384186
360.19999998807907,693.5,0.01580528846153846,140.80000001192093
556.3999999761581,856.3999999761581,0.021031311938043175,140
401.7000000476837,918.3000000119209,0.01580528846153846,179.69999998807907
609.8999999761581,993.1999999880791,0.01580528846153846,140.5
489.80000001192093,706.5,0.01580528846153846,128.80000001192093
869.3000000119209,2169.399999976158,0.015837185650887577,200.10000002384186
488.4000000357628,705,0.01569896449704142,335.19999998807907
416.89999997615814,650.1999999880791,0.01580528846153846,134.70000004768372
1293.1000000238419,1693.1000000238419,0.01580528846153846,308.7999999523163
469.5,752.8000000119209,0.01580528846153846,130
459.9000000357628,610,0.01580528846153846,136.29999995231628
427.5,644.0999999642372,0.01580528846153846,153.80000001192093
478.2999999523163,761.5999999642372,0.01580528846153846,141.89999997615814
541.8000000119209,741.8000000119209,0.01569896449704142,167.39999997615814
391,774.5,0.01580528846153846,124.19999998807907
459.89999997615814,559.8999999761581,0.01569896449704142,116.39999997615814
458.39999997615814,941.6999999880791,0.01580528846153846,149.10000002384186
